student_id,ssc_percentage,hsc_percentage,degree_percentage,cgpa,aptitude_test_score,technical_skill_score,soft_skills_rating,attendance_percentage,backlogs,internships,projects,certifications,work_experience_months,gender,placement_training,extracurricular_activities,placement_status,department
60,45.0,45.0,59.8,6.12,53,45,2.6,71.1,3,0,2,0,5,Male,No,No,NotPlaced,ME
61,78.0,66.0,66.9,6.37,62,46,1.5,72.6,1,0,0,2,0,Male,No,No,NotPlaced,ChemE
62,76.7,84.4,79.1,8.99,78,60,3.2,100.0,0,1,1,4,3,Female,Yes,No,Placed,CS
63,99.0,89.7,93.8,9.1,83,69,3.5,97.9,0,0,2,4,10,Male,Yes,Yes,Placed,ECE
64,88.7,86.2,89.9,9.65,74,64,3.8,90.8,1,1,2,2,10,Female,Yes,Yes,Placed,CE
65,75.6,78.7,73.7,7.59,63,64,2.4,72.9,0,1,2,4,10,Female,No,Yes,NotPlaced,EE
66,65.4,73.3,64.0,7.23,65,47,4.0,71.1,0,0,2,2,0,Male,Yes,No,NotPlaced,ECE
67,91.6,73.7,73.8,7.38,76,81,3.7,91.7,0,0,4,1,2,Female,No,Yes,Placed,IT
68,66.1,51.2,70.7,7.18,84,77,2.9,84.7,0,1,0,1,4,Female,No,No,Placed,IT
69,65.1,75.8,59.5,7.36,91,83,4.8,89.5,1,2,2,3,6,Female,No,Yes,Placed,ECE
70,69.5,55.8,58.5,6.84,69,40,4.2,81.6,0,0,2,0,0,Female,No,Yes,NotPlaced,ChemE
71,69.7,75.8,75.5,7.96,63,39,3.5,73.0,0,1,1,1,9,Male,Yes,No,NotPlaced,ECE
72,54.2,58.2,62.9,6.79,44,50,3.5,72.0,1,0,0,1,3,Female,Yes,Yes,NotPlaced,EE
73,67.9,84.4,66.7,7.35,66,61,3.6,66.7,1,0,3,1,1,Male,Yes,No,NotPlaced,CS
74,87.8,98.6,78.5,8.79,69,47,2.8,87.8,0,0,2,2,3,Male,Yes,No,Placed,EE
75,87.0,68.0,69.5,7.28,69,69,2.5,78.4,0,1,0,2,11,Female,Yes,No,NotPlaced,ECE
76,99.0,73.6,78.9,8.68,81,52,4.7,85.4,0,1,1,2,8,Male,Yes,Yes,Placed,ECE
77,57.1,58.4,66.9,6.73,69,51,3.3,86.2,0,2,0,3,12,Female,Yes,No,NotPlaced,ME
78,83.2,76.4,77.4,7.59,66,77,4.3,98.0,0,2,2,2,8,Female,Yes,Yes,Placed,CS
79,77.8,80.2,95.5,8.98,96,84,3.8,85.0,0,3,3,2,24,Female,Yes,Yes,Placed,ECE
80,64.4,60.8,62.3,7.53,73,56,3.7,72.5,0,0,2,3,6,Male,Yes,Yes,Placed,ME
81,73.2,71.8,81.3,8.26,70,66,4.2,85.2,0,0,2,2,1,Male,Yes,Yes,NotPlaced,ME
82,81.2,88.8,85.6,9.49,95,93,3.2,81.8,0,0,3,1,3,Female,No,No,Placed,IT
83,53.3,58.0,49.6,5.75,53,54,4.4,79.6,2,1,0,0,8,Female,No,No,NotPlaced,CE
84,48.0,59.0,61.5,5.91,58,62,3.2,67.6,3,1,1,0,9,Female,Yes,Yes,NotPlaced,ECE
85,75.9,60.2,61.3,6.62,62,71,3.8,84.9,1,0,1,1,6,Male,No,No,NotPlaced,ME
86,58.7,47.4,48.2,5.98,42,54,3.0,66.4,2,0,2,1,1,Male,Yes,Yes,NotPlaced,CS
87,83.9,85.2,87.3,9.3,64,45,3.7,82.9,0,0,2,1,0,Female,Yes,Yes,Placed,ECE
88,50.7,57.2,64.6,6.04,82,72,3.0,82.7,1,1,1,1,8,Female,No,Yes,NotPlaced,ECE
89,75.2,50.8,69.7,6.7,71,78,4.1,75.8,0,2,2,2,16,Female,No,Yes,Placed,IT
90,72.2,72.5,71.1,7.62,72,61,2.8,79.7,1,2,1,0,10,Male,Yes,No,NotPlaced,IT
91,65.3,64.8,68.3,7.65,83,65,4.4,76.5,2,0,3,0,0,Female,No,Yes,NotPlaced,CS
92,57.7,59.8,77.6,6.87,59,76,3.0,74.8,0,1,3,3,9,Male,Yes,No,Placed,CE
93,76.4,67.9,64.2,7.24,71,73,3.1,89.1,0,0,0,1,2,Male,Yes,No,Placed,ME
94,75.3,85.9,81.8,8.08,74,82,4.6,100.0,0,1,1,3,9,Male,Yes,No,Placed,ECE
95,71.0,73.7,60.3,7.61,54,44,4.4,73.2,0,1,0,0,13,Female,Yes,Yes,NotPlaced,ECE
96,72.9,70.8,61.0,7.76,75,82,2.7,82.2,0,0,2,2,5,Male,No,No,Placed,CE
97,62.4,47.7,57.5,5.1,46,39,2.9,73.9,1,0,0,0,3,Male,No,No,NotPlaced,ME
98,74.6,60.6,61.8,7.9,50,57,1.9,83.2,2,0,0,2,0,Female,No,Yes,NotPlaced,EE
99,64.7,57.3,61.9,6.9,57,75,3.6,84.7,1,2,2,1,8,Male,No,Yes,Placed,CE
100,81.1,75.9,81.6,8.23,68,71,3.9,70.7,0,0,0,0,0,Female,No,Yes,Placed,CE
101,76.3,67.7,61.7,7.06,63,61,3.3,73.2,1,0,2,4,3,Female,Yes,No,Placed,CS
102,86.4,68.5,81.7,7.96,64,71,3.5,89.5,0,1,2,2,6,Female,No,Yes,Placed,CE
103,46.3,58.4,48.0,5.63,43,50,2.5,66.3,3,0,0,0,4,Female,No,No,NotPlaced,CS
104,73.4,66.1,67.5,6.5,64,73,3.0,83.5,0,1,0,0,8,Female,No,Yes,NotPlaced,ME
105,68.0,57.5,70.2,7.91,66,82,3.8,100.0,0,3,2,1,16,Female,Yes,Yes,Placed,CS
106,79.0,70.7,67.8,7.3,56,50,2.7,69.7,2,1,0,1,4,Male,Yes,Yes,NotPlaced,CE
107,59.2,67.2,61.4,6.0,60,61,4.5,96.2,1,0,0,2,2,Female,No,No,NotPlaced,ECE
108,65.7,58.4,54.6,5.94,56,52,2.2,83.1,1,1,0,0,6,Male,No,No,NotPlaced,ECE
109,80.7,72.5,65.5,7.06,45,36,3.9,60.6,2,0,0,0,0,Male,No,No,NotPlaced,CE
110,68.1,62.2,55.9,7.29,65,53,2.6,77.5,0,0,1,4,6,Male,Yes,No,Placed,CE
111,69.3,66.8,73.7,7.43,73,79,3.3,85.7,1,3,3,2,21,Male,Yes,Yes,Placed,ECE
112,67.6,65.6,58.7,7.87,78,56,4.6,72.3,0,1,0,0,5,Male,No,No,NotPlaced,EE
113,76.8,80.4,71.2,7.54,94,79,4.2,88.9,0,1,4,4,6,Male,Yes,Yes,Placed,CS
114,95.4,81.7,84.3,8.86,87,85,3.8,99.4,0,2,4,1,13,Male,Yes,No,Placed,CS
115,79.2,87.3,73.6,8.75,73,46,5.0,84.0,0,0,1,2,1,Female,No,Yes,NotPlaced,ME
116,57.7,83.2,75.0,7.69,68,57,2.9,63.7,3,2,2,0,8,Male,No,No,NotPlaced,ME
117,68.5,54.9,55.6,6.26,66,67,3.5,88.7,1,1,2,1,4,Female,Yes,Yes,Placed,EE
118,86.3,69.5,77.5,7.85,72,55,3.8,84.5,0,1,1,1,8,Male,Yes,Yes,Placed,CE
119,69.1,55.8,66.1,7.36,77,72,4.3,80.3,0,0,2,2,1,Male,Yes,Yes,Placed,CS
120,74.1,81.7,82.2,8.29,75,61,3.6,93.8,0,1,0,1,9,Male,Yes,Yes,Placed,IT
121,64.4,75.7,67.2,7.35,69,79,3.3,92.9,0,2,3,3,11,Male,Yes,Yes,Placed,ChemE
122,64.9,71.8,58.9,7.69,57,61,3.0,74.6,1,3,1,0,10,Female,Yes,Yes,NotPlaced,EE
123,65.7,65.4,56.5,7.54,71,57,3.9,76.2,0,2,2,3,10,Female,Yes,No,Placed,CE
124,55.3,62.0,71.4,6.68,75,72,2.8,89.2,0,1,1,1,12,Female,No,No,NotPlaced,ChemE
125,59.3,45.0,54.0,5.99,59,48,2.3,68.0,1,0,2,0,1,Male,No,Yes,NotPlaced,CE
126,82.8,77.2,77.8,8.53,63,89,3.4,75.0,2,3,2,5,16,Female,No,Yes,Placed,CS
127,56.4,55.9,48.0,5.06,38,42,4.5,70.8,1,0,0,0,2,Male,No,Yes,NotPlaced,EE
128,71.7,66.2,61.8,7.39,75,66,3.1,72.4,1,0,2,1,6,Male,Yes,Yes,Placed,ME
129,66.7,73.3,72.9,8.0,57,51,4.1,78.9,0,0,1,1,2,Male,Yes,Yes,NotPlaced,CE
130,64.2,82.2,75.5,7.66,76,64,4.6,91.2,0,0,0,1,0,Male,Yes,Yes,Placed,CS
131,57.2,53.7,58.2,5.77,51,54,3.7,72.1,1,2,2,0,21,Female,No,No,NotPlaced,ChemE
132,92.8,83.3,84.8,8.46,71,77,4.3,84.3,0,1,6,0,7,Male,Yes,Yes,Placed,ECE
133,75.4,75.4,76.3,7.49,71,79,3.4,75.6,0,2,4,3,11,Male,No,No,Placed,ME
134,71.9,57.6,59.4,5.75,79,70,2.5,82.0,1,2,0,0,12,Female,No,No,NotPlaced,CE
135,62.1,67.2,58.7,7.28,75,78,2.1,75.8,0,0,2,1,2,Male,Yes,No,NotPlaced,ECE
136,60.9,64.4,65.9,5.64,48,39,3.7,72.2,1,1,0,0,6,Male,No,No,NotPlaced,CE
137,57.9,63.6,69.0,7.07,83,59,5.0,73.8,0,1,2,1,7,Female,Yes,Yes,Placed,ChemE
138,83.8,61.6,82.7,7.67,62,69,3.3,86.9,0,2,4,5,19,Female,Yes,Yes,Placed,ECE
139,65.1,73.1,75.1,7.47,74,82,3.4,77.6,1,0,8,4,0,Female,Yes,Yes,Placed,ECE
140,50.5,57.1,63.9,7.21,70,48,2.7,69.5,2,0,0,1,0,Male,Yes,No,NotPlaced,CE
141,87.2,69.9,56.3,7.28,67,65,4.3,78.8,3,1,3,4,11,Female,Yes,No,Placed,IT
142,79.5,70.3,69.4,8.98,78,79,3.5,83.4,0,1,3,3,8,Male,Yes,Yes,Placed,CS
143,76.4,74.4,76.1,8.04,73,75,2.7,78.0,0,0,3,1,0,Male,No,No,Placed,CS
144,59.5,81.2,65.6,7.83,63,62,3.4,72.1,3,1,0,0,7,Female,No,No,NotPlaced,ME
145,86.6,80.7,78.7,8.36,93,92,3.8,93.2,0,2,2,5,10,Male,No,Yes,Placed,IT
146,58.0,45.0,51.9,5.23,35,38,2.8,64.8,1,0,0,0,1,Male,Yes,No,NotPlaced,CS
147,75.5,78.4,74.8,8.36,100,88,3.3,75.7,2,0,5,3,0,Male,Yes,No,Placed,CS
148,79.6,71.3,72.1,8.01,65,77,3.4,77.1,0,2,1,3,15,Male,Yes,No,Placed,ECE
149,94.6,86.9,90.8,8.97,91,63,2.8,70.8,0,0,2,3,2,Male,Yes,No,Placed,CS
150,70.8,72.2,71.2,7.1,73,79,4.0,75.5,1,1,4,3,8,Female,No,Yes,Placed,CS
151,59.4,69.4,72.1,7.69,65,71,4.0,91.4,0,2,2,2,13,Female,No,Yes,Placed,ECE
152,57.5,61.1,69.1,6.86,66,70,4.0,86.0,1,1,1,0,4,Female,No,Yes,NotPlaced,ME
153,69.8,45.8,48.5,5.91,62,59,2.4,70.6,2,1,3,0,7,Male,No,No,Placed,ChemE
154,60.1,57.9,56.9,6.11,62,56,2.2,65.3,3,2,2,1,13,Female,No,No,NotPlaced,EE
155,77.6,76.7,77.0,8.34,60,63,3.6,89.1,0,0,2,3,0,Female,Yes,Yes,Placed,IT
156,61.4,63.1,63.6,6.91,67,51,3.2,74.2,0,1,2,2,6,Male,Yes,No,Placed,CS
157,70.3,79.2,70.9,7.44,59,70,3.0,91.7,0,3,4,1,21,Female,Yes,Yes,Placed,ChemE
158,71.4,51.5,53.2,6.3,57,36,4.0,94.2,0,1,0,1,6,Female,No,No,NotPlaced,CE
159,78.9,66.5,64.3,6.84,65,58,3.9,70.9,0,0,0,0,3,Female,No,Yes,NotPlaced,ECE
160,75.5,72.2,58.0,7.33,50,52,4.4,84.7,0,1,1,3,4,Male,Yes,Yes,NotPlaced,ECE
161,63.0,51.4,54.4,5.79,41,66,3.9,65.9,3,0,0,3,5,Male,No,Yes,Placed,ME
162,73.0,55.1,65.4,7.5,62,65,3.3,76.7,1,1,2,1,8,Female,Yes,Yes,Placed,ECE
163,72.0,57.0,73.2,7.33,66,67,5.0,75.8,0,2,1,3,14,Female,Yes,Yes,Placed,ME
164,75.9,85.1,76.3,9.4,79,58,4.9,89.8,0,0,1,2,3,Female,Yes,No,Placed,EE
165,53.6,74.9,62.3,6.58,64,63,4.3,79.5,2,0,1,0,1,Male,Yes,Yes,NotPlaced,ECE
166,67.0,49.1,56.4,6.09,51,62,2.7,71.9,2,1,0,1,4,Male,Yes,No,NotPlaced,CE
167,70.2,71.9,67.2,7.66,61,58,2.4,82.7,0,0,1,0,0,Male,Yes,Yes,Placed,CS
168,70.4,45.0,65.8,7.38,46,29,3.7,85.5,2,0,0,0,6,Male,No,Yes,NotPlaced,CS
169,66.9,65.7,63.2,6.97,48,49,3.3,77.0,0,0,0,2,8,Female,Yes,Yes,NotPlaced,CE
170,92.5,81.5,75.1,10.0,96,84,4.5,91.6,0,0,1,2,0,Female,No,Yes,Placed,CS
171,80.4,73.2,70.2,8.01,82,75,4.1,80.1,1,2,1,1,15,Male,Yes,Yes,Placed,ECE
172,72.7,65.8,75.3,6.29,59,65,4.1,94.3,0,3,1,2,19,Male,Yes,Yes,Placed,EE
173,61.8,51.7,67.4,6.9,53,74,3.6,76.9,0,2,2,0,14,Female,No,Yes,Placed,ME
174,87.6,99.0,73.1,8.46,80,49,3.4,76.6,0,0,0,1,2,Male,Yes,Yes,Placed,CS
175,46.8,45.0,49.9,5.52,57,37,2.2,67.3,4,0,0,0,0,Male,No,No,NotPlaced,ME
176,82.0,83.8,81.2,7.82,86,60,2.5,85.4,1,2,4,2,13,Female,Yes,Yes,Placed,CE
177,71.0,90.3,85.0,8.06,79,61,2.7,86.3,0,1,0,1,3,Female,Yes,No,Placed,IT
178,68.1,69.4,64.1,6.77,60,78,3.5,84.4,0,0,2,1,2,Male,Yes,Yes,Placed,ME
179,57.8,50.0,56.0,6.14,69,59,3.1,67.2,1,0,5,1,1,Female,No,No,NotPlaced,ME
180,58.6,56.0,51.9,5.93,61,67,2.6,67.2,1,0,1,0,7,Male,Yes,No,Placed,ME
181,75.8,53.5,64.2,7.42,63,91,1.9,70.2,0,1,0,0,7,Male,No,No,NotPlaced,ME
182,64.2,58.2,56.9,6.21,71,81,3.7,88.3,0,1,3,0,8,Female,No,Yes,NotPlaced,EE
183,76.3,72.3,59.1,6.06,49,48,3.8,77.9,1,0,0,1,6,Male,No,Yes,NotPlaced,EE
184,81.5,62.6,70.5,8.08,79,58,3.7,82.0,0,0,2,0,2,Male,Yes,No,NotPlaced,ChemE
185,75.8,69.4,74.3,7.61,88,84,2.9,67.4,5,0,3,1,5,Female,No,Yes,NotPlaced,CS
186,78.7,92.8,86.3,7.78,86,88,3.1,81.3,2,0,1,2,2,Female,No,No,Placed,CS
187,74.7,68.5,63.9,8.33,66,82,4.7,80.0,0,0,5,3,1,Male,No,Yes,Placed,ECE
188,73.3,58.6,66.5,6.77,66,46,3.6,70.3,1,0,3,0,2,Male,Yes,No,NotPlaced,EE
189,53.8,63.1,53.4,5.66,72,83,4.1,83.8,0,3,5,3,15,Female,No,Yes,Placed,CS
190,68.3,57.1,64.8,5.99,57,74,4.5,84.4,2,1,2,2,4,Female,Yes,No,Placed,ECE
191,72.5,58.4,84.5,7.52,79,70,4.2,87.0,0,1,2,2,8,Female,No,Yes,Placed,EE
192,77.9,61.2,66.4,8.3,79,49,3.5,73.1,0,0,0,1,3,Female,No,No,Placed,CE
193,68.8,74.1,53.4,6.18,77,85,4.6,92.0,0,1,2,2,5,Female,Yes,Yes,Placed,ME
194,75.4,73.9,73.6,7.08,71,78,4.1,77.3,0,1,1,1,4,Male,No,No,NotPlaced,IT
195,45.1,71.0,57.1,6.61,43,71,3.6,72.4,3,0,1,1,0,Female,No,No,Placed,CE
196,57.6,60.4,74.9,7.99,79,65,4.8,94.2,0,1,1,1,6,Female,No,No,Placed,EE
197,75.4,68.7,61.9,7.24,86,69,3.6,83.6,1,0,1,1,4,Male,No,No,NotPlaced,CE
198,45.0,58.1,64.2,7.08,70,65,2.4,69.0,0,1,1,0,7,Male,No,Yes,NotPlaced,ChemE
199,79.8,69.2,83.9,7.6,71,68,1.5,84.0,0,2,1,1,10,Male,No,No,Placed,EE
200,86.5,79.6,78.6,7.65,87,74,4.7,100.0,0,2,2,4,9,Male,Yes,Yes,Placed,ECE
201,72.6,52.6,57.4,7.36,48,48,3.9,79.5,3,0,0,1,1,Male,No,Yes,NotPlaced,ChemE
202,79.9,90.1,75.0,8.1,93,87,3.2,79.7,0,2,3,0,7,Female,No,No,NotPlaced,CE
203,71.8,69.9,64.4,6.79,61,69,2.8,86.4,0,0,0,0,3,Male,No,Yes,NotPlaced,ChemE
204,74.8,69.9,73.6,7.97,63,64,2.7,80.0,0,2,1,0,14,Male,No,Yes,Placed,CS
205,57.0,66.5,56.8,6.98,65,61,3.4,71.7,3,0,1,1,1,Female,No,No,NotPlaced,IT
206,72.7,62.4,62.2,6.85,65,82,2.4,74.9,3,0,3,0,1,Female,No,No,NotPlaced,ChemE
207,66.2,45.0,52.6,5.61,57,55,3.3,77.3,2,0,1,0,7,Female,No,Yes,NotPlaced,ME
208,86.1,71.9,86.5,8.06,61,54,3.8,87.5,0,0,0,2,5,Male,Yes,No,Placed,EE
209,58.2,57.6,67.9,6.42,77,62,2.8,70.3,2,0,1,0,6,Male,Yes,No,NotPlaced,EE
210,73.9,63.3,64.5,7.24,75,83,4.5,84.5,2,1,1,0,4,Male,Yes,No,Placed,ME
211,96.3,91.1,78.6,8.84,83,76,4.5,90.0,0,0,3,1,7,Male,Yes,Yes,Placed,ME
212,80.8,74.7,69.8,7.66,63,68,4.9,90.1,0,2,0,3,17,Male,No,Yes,Placed,ECE
213,72.9,58.3,62.8,6.88,63,71,3.0,69.2,2,1,1,1,7,Male,Yes,No,NotPlaced,ME
214,66.9,69.5,81.9,8.25,75,73,4.0,88.3,0,0,1,2,3,Male,Yes,Yes,Placed,CE
215,76.8,78.1,68.6,7.47,71,79,1.7,94.7,0,1,1,1,6,Male,Yes,Yes,Placed,CS
216,67.9,61.8,54.4,6.31,49,35,3.2,78.1,2,0,1,0,0,Male,Yes,No,NotPlaced,CE
217,73.1,57.9,61.9,6.87,58,68,2.2,79.5,1,0,1,0,2,Female,No,Yes,NotPlaced,IT
218,70.2,54.7,61.2,6.3,70,71,3.0,68.5,3,0,1,0,0,Male,No,No,NotPlaced,CE
219,88.5,70.1,72.3,9.16,86,67,2.8,64.8,2,2,2,0,8,Male,Yes,No,Placed,ME
220,57.6,72.1,63.4,6.22,60,58,3.9,76.6,2,0,0,2,3,Female,Yes,No,NotPlaced,IT
221,77.1,84.5,63.4,7.26,74,85,3.1,75.8,0,0,4,0,3,Male,No,No,NotPlaced,ChemE
222,65.7,57.6,61.7,6.59,44,66,3.6,76.2,2,3,3,0,20,Female,No,Yes,NotPlaced,EE
223,57.4,45.0,48.0,5.48,35,35,2.8,57.1,2,0,0,0,1,Male,Yes,No,NotPlaced,ChemE
224,79.2,82.7,60.3,6.6,80,68,3.5,83.6,0,0,1,2,4,Female,Yes,Yes,Placed,ME
225,59.1,60.1,66.4,6.45,68,51,4.4,69.0,0,1,0,0,4,Male,Yes,Yes,Placed,CS
226,85.4,66.2,61.8,7.66,77,69,3.2,93.8,0,3,1,0,22,Male,Yes,No,NotPlaced,ME
227,72.1,60.3,60.5,6.2,61,86,3.5,72.5,2,2,3,0,13,Female,No,Yes,Placed,CE
228,70.3,66.0,69.7,6.85,58,52,2.6,86.2,0,2,0,0,10,Male,Yes,No,Placed,EE
229,69.0,84.1,78.5,8.15,66,60,3.4,84.3,0,1,1,2,6,Female,Yes,Yes,NotPlaced,ME
230,84.3,68.4,77.5,8.88,92,74,3.9,86.4,0,1,2,2,4,Male,No,Yes,Placed,CS
231,70.7,71.0,71.0,7.04,72,51,3.5,65.8,0,0,0,0,0,Female,No,No,NotPlaced,ME
232,72.3,67.5,63.2,7.49,74,83,3.2,89.5,0,1,2,0,4,Female,No,Yes,NotPlaced,ME
233,64.6,62.5,70.2,7.15,74,53,3.6,89.4,2,2,2,2,15,Female,No,Yes,NotPlaced,EE
234,85.2,76.7,86.7,7.97,79,94,4.2,86.4,0,3,4,4,18,Male,Yes,Yes,Placed,ME
235,58.8,56.8,52.9,5.83,60,60,3.9,91.8,0,0,3,0,0,Female,No,Yes,NotPlaced,ChemE
236,81.8,71.6,70.6,7.75,82,87,3.3,89.8,0,1,1,1,10,Male,Yes,Yes,Placed,ChemE
237,86.1,68.0,73.3,7.27,82,55,3.3,63.7,0,0,4,1,2,Female,No,No,NotPlaced,CE
